Time,X,Y,Z,XZ,X-zeroed,Z-Zeroed,X-diff,Z-diff,Heading,Distance (m),Speed,Speedx2
47,-14.84896,1.60537,1.468488,,-15.79196,1.468488,0.00187,0.000976,0.481033474,0.002109378,0.002109378,0.004218756
48,-14.84557,1.607569,1.468508,,-15.78857,1.468508,0.00339,-2E-05,-0.005899637,0.003390059,0.003390059,0.006780118
49,-14.83884,1.607996,1.468249,,-15.78184,1.468249,0.00673,0.000259,0.038465416,0.006734982,0.006734982,0.013469964
50,-14.83711,1.612835,1.469273,,-15.78011,1.469273,0.00173,-0.001024,-0.534447894,0.002010342,0.002010342,0.004020684
51,-14.83881,1.613868,1.463407,,-15.78181,1.463407,-0.0017,0.005866,-1.288718178,0.006107369,0.006107369,0.012214738
52,-15.02877,1.611997,1.254584,,-15.97177,1.254584,-0.18996,0.208823,-0.832664347,0.282297444,0.282297444,0.564594888
53,-14.51585,1.61536,1.409742,,-15.45885,1.409742,0.51292,-0.155158,-0.293748256,0.535873988,0.535873988,1.071747976
54,-14.36697,1.614959,1.421348,,-15.30997,1.421348,0.14888,-0.011606,-0.077798061,0.14933169,0.14933169,0.29866338
55,-14.37877,1.615824,1.428022,,-15.32177,1.428022,-0.0118,-0.006674,0.5147361,0.013556632,0.013556632,0.027113264
56,-14.3912,1.614404,1.420964,,-15.3342,1.420964,-0.01243,0.007058,-0.51642142,0.014294064,0.014294064,0.028588128
57,-14.40026,1.600744,1.400394,,-15.34326,1.400394,-0.00906,0.02057,-1.155914804,0.022476844,0.022476844,0.044953688
58,-14.39922,1.578555,1.340034,,-15.34222,1.340034,0.00104,0.06036,1.553568078,0.060368959,0.060368959,0.120737918
59,-14.39774,1.539097,1.328687,,-15.34074,1.328687,0.00148,0.011347,1.441097557,0.011443112,0.011443112,0.022886224
60,-14.39342,1.487902,1.331836,,-15.33642,1.331836,0.00432,-0.003149,-0.629882764,0.005345896,0.005345896,0.010691792
61,-14.46682,1.398291,1.281188,,-15.40982,1.281188,-0.0734,0.050648,-0.604001437,0.08917836,0.08917836,0.17835672
62,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
63,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
64,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
65,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
66,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
67,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
68,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
69,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
70,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
71,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
72,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
73,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
74,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
75,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
76,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
77,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
78,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
79,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
80,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
81,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
82,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
83,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
84,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
85,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
86,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
87,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
88,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
89,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
90,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
91,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
92,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
93,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
94,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
95,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
96,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
97,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
98,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
99,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
100,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
101,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
102,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
103,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
104,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
105,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
106,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
107,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
108,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
109,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
110,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
111,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
112,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
113,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
114,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
115,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
116,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
117,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
118,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
119,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
120,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
121,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
122,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
123,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
124,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
125,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
126,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
127,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
128,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
129,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
130,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
131,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
132,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
133,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
134,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
135,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
136,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
137,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
138,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
139,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
140,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
141,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
142,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
143,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
144,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
145,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
146,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
147,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
148,-14.46682,1.398291,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
149,-14.46682,2.515891,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
150,-14.46682,2.515891,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
151,-14.46682,2.515891,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
152,-14.46682,2.515891,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
153,-14.46682,2.515891,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
154,-14.46682,2.515891,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
155,-14.46682,2.515891,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
156,-14.46682,2.515891,1.281188,,-15.40982,1.281188,0,0,0,0,0,0
157,-6.324875,1.424517,0.563538,,-7.267875,0.563538,8.141945,0.71765,0.087915126,8.17351148,8.17351148,16.34702296
158,-6.276875,1.577706,0.5662553,,-7.219875,0.5662553,0.048,-0.0027173,-0.056550059,0.048076852,0.048076852,0.096153704
159,-6.285029,1.581087,0.5598922,,-7.228029,0.5598922,-0.008154,0.0063631,-0.662653476,0.010342957,0.010342957,0.020685914
160,-6.265745,1.57397,0.5664794,,-7.208745,0.5664794,0.019284,-0.0065872,-0.329162056,0.020378024,0.020378024,0.040756048
161,-6.298498,1.518782,0.5352016,,-7.241498,0.5352016,-0.032753,0.0312778,-0.762363326,0.045288628,0.045288628,0.090577256
162,-6.264292,1.575368,0.5570497,,-7.207292,0.5570497,0.034206,-0.0218481,-0.568405511,0.040588051,0.040588051,0.081176102
163,-6.250295,1.556562,0.5158913,,-7.193295,0.5158913,0.013997,0.0411584,1.242989349,0.043473324,0.043473324,0.086946648
164,-6.235325,1.601295,0.5729623,,-7.178325,0.5729623,0.01497,-0.057071,-1.314270576,0.059001694,0.059001694,0.118003388
165,-6.225822,1.594257,0.5610785,,-7.168822,0.5610785,0.009503,0.0118838,0.896262711,0.015216166,0.015216166,0.030432332
166,-6.24346,1.578518,0.554007,,-7.18646,0.554007,-0.017638,0.0070715,-0.381302796,0.019002767,0.019002767,0.038005534
167,-6.239647,1.593955,0.5517902,,-7.182647,0.5517902,0.003813,0.0022168,0.52661542,0.004410575,0.004410575,0.00882115
168,-6.22235,1.597069,0.5536192,,-7.16535,0.5536192,0.017297,-0.001829,-0.105349402,0.017393431,0.017393431,0.034786862
169,-6.238373,1.599751,0.5461485,,-7.181373,0.5461485,-0.016023,0.0074707,-0.436283734,0.017679024,0.017679024,0.035358048
170,-6.192314,1.615286,0.5541214,,-7.135314,0.5541214,0.046059,-0.0079729,-0.171403368,0.046743969,0.046743969,0.093487938
171,-6.174918,1.619877,0.5341597,,-7.117918,0.5341597,0.017396,0.0199617,0.853969766,0.02647811,0.02647811,0.05295622
172,-6.183303,1.61917,0.5616591,,-7.126303,0.5616591,-0.008385,-0.0274994,1.2748358,0.028749352,0.028749352,0.057498704
173,-6.216264,1.615224,0.5562559,,-7.159264,0.5562559,-0.032961,0.0054032,-0.162481941,0.033400929,0.033400929,0.066801858
174,-6.262371,1.613884,0.6013027,,-7.205371,0.6013027,-0.046107,-0.0450468,0.773767796,0.06445983,0.06445983,0.12891966
